"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"Asylum seekers"	2015-03-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/003199/P8_QE(2015)003199_EN.doc"	NA	"Extract:Question for written answer E-003199/2015to the CommissionRule 130Maite Pagazaurtundúa Ruiz (ALDE)Subject:Asylum seekersThe United Nations has branded the European asylum system dysfunctional. According to Frontex, the illegal entry of"	"
								 
							      
							      
							         P8_QE(2015)003199
							      
							    
							"	"Frontex"	2015-03-01	2015-01-01	2015-01-01
"Security in the Mediterranean"	2015-03-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002839/P8_QE(2015)002839_EN.doc"	NA	"Extract: such as Libya:1.Besides the various Frontex operations, what other measures has the EU put in place to ensure security in the Mediterranean region?2.What immediate action is the Commission taking to tackle the growing threat of terrorism in the"	"
								 
							      
							      
							         P8_QE(2015)002839
							      
							    
							"	"Frontex"	2015-03-01	2015-01-01	2015-01-01
"Failure of Frontex to give assistance"	2015-03-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002797/P8_QE(2015)002797_EN.doc"	NA	"Extract:Question for written answer E-002797/2015to the CommissionRule 130Marina Albiol Guzmán (GUE/NGL)Subject:Failure of Frontex to give assistanceLast week, another 300 lives were lost in the Mediterranean while the European authorities stood"	"
								 
							      
							      
							         P8_QE(2015)002797
							      
							    
							"	"Frontex"	2015-03-01	2015-01-01	2015-01-01
"Border protection"	2015-03-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002663/P8_QE(2015)002663_EN.doc"	NA	"Extract: planned for the European Union as a whole in order to reinforce protection of the EU’s external border to the east as well, i.e. the border with Russia, Belarus and Ukraine?What attention is the Frontex agency devoting to protecting the EU’s eastern"	"
								 
							      
							      
							         P8_QE(2015)002663
							      
							    
							"	"Frontex"	2015-03-01	2015-01-01	2015-01-01
"Operation Triton"	2015-02-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002553/P8_QE(2015)002553_EN.doc"	NA	"Extract: their lives.This is a new tragedy. A tragedy for which Europe must take its responsibility.The European Frontex Operation Triton, launched on 1 November 2014 to replace the former Italian Mare Nostrum operation, must prevent people from crossing the"	"
								 
							      
							      
							         P8_QE(2015)002553
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Operations coordinated by Frontex"	2015-02-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002545/P8_QE(2015)002545_EN.doc"	NA	"Extract:Question for written answer E-002545/2015to the CommissionRule 130Esteban González Pons (PPE)Subject:Operations coordinated by FrontexIn order to deal with illegal migration, it is vital that the EU encourage development policies in the"	"
								 
							      
							      
							         P8_QE(2015)002545
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Functioning of Operation Triton"	2015-02-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002542/P8_QE(2015)002542_EN.doc"	NA	"Extract:Question for written answer E-002542/2015to the CommissionRule 130Esteban González Pons (PPE)Subject:Functioning of Operation TritonOperation Triton, managed by Frontex, was launched on 1 November 2014. Its objective is to support the work"	"
								 
							      
							      
							         P8_QE(2015)002542
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Effectiveness of Operation Triton"	2015-02-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/002373/P8_QE(2015)002373_EN.doc"	NA	"Extract: a decade, without the winter decline which characterised previous years. Indeed, figures released by the EU agency Frontex reveal that 11 400 migrants were rescued at sea in the little over three months since Operation Triton was launched on 1"	"
								 
							      
							      
							         P8_QE(2015)002373
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Use of Frontex funds"	2015-02-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/001967/P8_QE(2015)001967_EN.doc"	NA	"Extract:Question for written answer E-001967/2015to the CommissionRule 130Mario Borghezio (NI)Subject:Use of Frontex fundsI understand that Frontex will cost EUR 114 million in 2015, 14 % more than it did in 2014, and that the contributions of the"	"
								 
							      
							      
							         P8_QE(2015)001967
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Terrorists gaining entry to Italy through illegal immigration"	2015-02-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/001594/P8_QE(2015)001594_EN.doc"	NA	"Extract: from the Frontex Agency, in 2014 there were 170 816 illegal landings in Italy from Libya, a rise of 277 % on the 2013 figure of 45 298. In December 2014 the Public Prosecutor’s Office in Palermo opened an investigation into possible entry of ISIS"	"
								 
							      
							      
							         P8_QE(2015)001594
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Capability of Frontex"	2015-02-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/001419/P8_QE(2015)001419_EN.doc"	NA	"Extract:Question for written answer E-001419/2015to the CommissionRule 130Urmas Paet (ALDE)Subject:Capability of FrontexThe pressure of immigration and crime on EU borders is growing rapidly. In relation to this, the capability of European border"	"
								 
							      
							      
							         P8_QE(2015)001419
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Flaws of EU migration policy"	2015-02-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/001412/P8_QE(2015)001412_EN.doc"	NA	"Extract:Question for written answer E-001412/2015to the CommissionRule 130Fernando Maura Barandiarán (ALDE)Subject:Flaws of EU migration policyThe budget for Frontex was reduced from EUR 115 million in 2011 to EUR 85 million in 2013, while"	"
								 
							      
							      
							         P8_QE(2015)001412
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"New programme to combat terrorism"	2015-02-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000796/P8_QE(2015)000796_EN.doc"	NA	"Extract: war that does not stop at borders can best be waged at EU level. Increasing data sharing, strengthening the role of Frontex, controlling arms trafficking and the very careful monitoring of the internet are all measures that should be taken to ensure"	"
								 
							      
							      
							         P8_QE(2015)000796
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Mos Maiorum operation"	2015-02-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000684/P8_QE(2015)000684_EN.doc"	NA	"Extract: Central Directorate for Immigration and Border Police of the Italian Ministry of the Interior, in close cooperation with Frontex and Europol.Can the Council provide information on the outcome of the operation?1.Can it provide detailed statistics on the"	"
								 
							      
							      
							         P8_QE(2015)000684
							      
							    
							"	"Frontex"	2015-02-01	2015-01-01	2015-01-01
"Training courses for Spanish border guards (Frontex)"	2015-01-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000473/P8_QE(2015)000473_EN.doc"	NA	"Extract:Question for written answer E-000473/2015to the CommissionRule 130Marina Albiol Guzmán (GUE/NGL)Subject:Training courses for Spanish border guards (Frontex)The tasks of the European Agency for the Management of Operational Cooperation at"	"
								 
							      
							      
							         P8_QE(2015)000473
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Asylum applications and Frontex operations"	2015-01-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000472/P8_QE(2015)000472_EN.doc"	NA	"Extract:Question for written answer E-000472/2015to the CommissionRule 130Marina Albiol Guzmán (GUE/NGL)Subject:Asylum applications and Frontex operationsThe tasks of the European Agency for the Management of Operational Cooperation at the"	"
								 
							      
							      
							         P8_QE(2015)000472
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Follow-up to Written Question E-007450/2014 concerning Frontex Plus"	2015-01-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000434/P8_QE(2015)000434_EN.doc"	NA	"Extract:Question for written answer E-000434/2015to the CommissionRule 130Miriam Dalli (S&D)Subject:Follow-up to Written Question E-007450/2014 concerning Frontex PlusWith reference to Written Question E-007450/2014 and in light of the"	"
								 
							      
							      
							         P8_QE(2015)000434
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Illegal immigrants - communication with non-EU countries"	2015-01-27	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000281/P8_QE(2015)000281_EN.doc"	NA	"Extract: year of the Arab Spring, there were 140 000 illegal immigrants, which was a record at the time. This number has been increasing by hundreds of thousands every year. According to Frontex, the journey undertaken by illegal immigrants arriving by sea from"	"
								 
							      
							      
							         P8_QE(2015)000281
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Illegal immigration to Italy via Greece"	2015-01-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000196/P8_QE(2015)000196_EN.doc"	NA	"Extract::–What the European Union intends to do to prevent a repeat occurrence of this unacceptable incident and to find the culprits?–What instructions will be given to Frontex so that it carries out proper checks, rather than simply recording the entry of"	"
								 
							      
							      
							         P8_QE(2015)000196
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Migrants abandoned at sea in the Mediterranean"	2015-01-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000123/P8_QE(2015)000123_EN.doc"	NA	"Extract: less on surveillance of maritime areas and more on guarding the external borders, what measures does the EU intend to take to rescue migrants and effectively control and, by extension, prevent such occurrences?–What is the role of Frontex (European"	"
								 
							      
							      
							         P8_QE(2015)000123
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
"Inhumane and uncontrolled transportation of migrants in the Mediterranean"	2015-01-22	"http://www.europarl.europa.eu/RegData/questions/ecrites/2015/000092/P8_QE(2015)000092_EN.doc"	NA	"Extract: international law? –As Frontex has proven to be ineffective to date, does it intend to consider the possibility of setting up cooperation that will help to prevent mass illegal immigration?1045238.ENPE 546.434"	"
								 
							      
							      
							         P8_QE(2015)000092
							      
							    
							"	"Frontex"	2015-01-01	2015-01-01	2015-01-01
